Numero de mesure,Longitude,Latitude,Position,Insee,Adresse,Complement,Code postal,Commune,Date de mesure,Mesure realisee,Rapport,Conformite de la mesure,Niveau global,Type d'environnement,Laboratoire
175,3.91611,43.58528,"03e 54' 58.00'' Est, 43e 35' 07.00'' Nord",34129,Mas de Gau,,34970,LATTES,06/12/2001,En exterieur,FicheMesure175.pdf,Oui,0.00,Divers,SATELIT
180,4.04194,43.64694,"04e 02' 31.00'' Est, 43e 38' 49.00'' Nord",34176,5539 Rue Lou Claou de la Oulivettas,,34130,MUDAISON,06/12/2001,En exterieur,FicheMesure180.pdf,Oui,0.00,Divers,SATELIT
543,3.03167,43.36028,"03e 01' 54.00'' Est, 43e 21' 37.00'' Nord",34225,Chemin de Montfaucon,residence de  Mme SOUTADE,34620,PUISSERGUIER,23/05/2002,En exterieur,FicheMesure543.pdf,Oui,0.54,Divers,APAVE
545,3.03278,43.36167,"03e 01' 58.00'' Est, 43e 21' 42.00'' Nord",34225,Chemin de Quarante,residence de  M. GONZALEZ,34620,PUISSERGUIER,23/05/2002,En exterieur,FicheMesure545.pdf,Oui,0.20,Divers,APAVE
850,3.56444,43.64583,"03e 33' 52.00'' Est, 43e 38' 45.00'' Nord",34114,480 Chemin de Pioch Courbi,Chez Mme et M. GALOIS,34150,GIGNAC,10/10/2002,En exterieur,FicheMesure850.pdf,Oui,0.53,Rue / Route / Parking,APAVE
851,3.56306,43.64806,"03e 33' 47.00'' Est, 43e 38' 53.00'' Nord",34114,Vieux chemin,Chez Mme et M. HERMITTE.,34150,GIGNAC,10/10/2002,En exterieur,FicheMesure851.pdf,Oui,0.78,Rue / Route / Parking,APAVE
852,3.56306,43.64694,"03e 33' 47.00'' Est, 43e 38' 49.00'' Nord",34114,401 Chemin de Pioch Courbi,Chez Mme et M. EON.,34150,GIGNAC,10/10/2002,En exterieur,FicheMesure852.pdf,Oui,0.53,Rue / Route / Parking,APAVE
1072,3.91611,43.58500,"03e 54' 58.00'' Est, 43e 35' 06.00'' Nord",34129,Cheteau d'eau de Boirargues,Au pied du cheteau d'eau.,34970,LATTES,22/01/2003,En exterieur,FicheMesure1072.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1073,3.91667,43.58667,"03e 55' 00.00'' Est, 43e 35' 12.00'' Nord",34129,Avenue de la Mer - Garage Tunning XXS,Au debut du chemin donnant sur le cheteau d'eau par la route de Carnon.,34970,LATTES,22/01/2003,En exterieur,FicheMesure1073.pdf,Oui,0.54,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1074,3.91889,43.58583,"03e 55' 08.00'' Est, 43e 35' 09.00'' Nord",34129,Chemin des Mas de Gau,"Au debut de la piste cyclable donnant sur le chemin des Mas de Gau, le long de l'Avenue de la Mer.",34970,LATTES,22/01/2003,En exterieur,FicheMesure1074.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1115,3.20806,43.34861,"03e 12' 29.00'' Est, 43e 20' 55.00'' Nord",34032,15 Rue des Cygnes,Sous le preau de la porte d'entree de l'immeuble,34500,BEZIERS,20/02/2003,En exterieur,FicheMesure1115.pdf,Oui,0.30,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1193,3.89750,43.63806,"03e 53' 51.00'' Est, 43e 38' 17.00'' Nord",34057,256 Chemin du Cheteau d'eau,au pied du cheteau d'eau devant l'entree du 256.,34170,CASTELNAU-LE-LEZ,13/03/2003,En exterieur,FicheMesure1193.pdf,Oui,1.35,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1194,3.89778,43.63889,"03e 53' 52.00'' Est, 43e 38' 20.00'' Nord",34057,50 Chemin du Cheteau d'eau,Devant l'entree du 50 chemin du cheteau d'eau.,34170,CASTELNAU-LE-LEZ,13/03/2003,En exterieur,FicheMesure1194.pdf,Oui,1.47,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1195,3.89889,43.63861,"03e 53' 56.00'' Est, 43e 38' 19.00'' Nord",34057,Impasse de l'Oppudum,Devant l'entree du 225-230 impasse de l'oppudum,34170,CASTELNAU-LE-LEZ,13/03/2003,En exterieur,FicheMesure1195.pdf,Oui,0.57,Rue / Route / Parking,CSTB - Saint Martin d'Heres
1955,3.88556,43.71639,"03e 53' 08.00'' Est, 43e 42' 59.00'' Nord",34014,283 Rue de Montpellier,"Les mesures en large bande ont ete effectuees en plusieurs emplacements dans l'azimut du relais GSM (maison de Mr Gelly,terrain de jeux ainsi que la place publique).Les mesures spectrales ont ete realisees au point de champ maximum en large bande, c'est e dire dans la cour d'entree de la maison de Mr Gelly.",34820,ASSAS,03/02/2003,En exterieur,FicheMesure1955.pdf,Oui,0.95,Rue / Route / Parking,BUREAU VERITAS
2286,3.86944,43.60833,"03e 52' 10.00'' Est, 43e 36' 30.00'' Nord",34172,Cours Gambetta,,34000,MONTPELLIER,20/08/2003,En exterieur,FicheMesure2286.pdf,Oui,0.40,Rue / Route / Parking,AEXPERTISE
2428,4.08361,43.55861,"04e 05' 01.00'' Est, 43e 33' 31.00'' Nord",34344,140 Rue du Port,Terrasse de l'Hotel Mercure,34280,LA GRANDE-MOTTE,31/07/2003,En exterieur,FicheMesure2428.pdf,Oui,9.63,Divers,APAVE
2429,4.08361,43.55861,"04e 05' 01.00'' Est, 43e 33' 31.00'' Nord",34344,140 Rue du Port,Terrasse de l'Hotel Mercure,34280,LA GRANDE-MOTTE,31/07/2003,En exterieur,FicheMesure2429.pdf,Oui,5.16,Divers,APAVE
3043,3.23056,43.36139,"03e 13' 50.00'' Est, 43e 21' 41.00'' Nord",34032,Hors de Monseigneur - Reservoir de la Cor,MESURE EN PIED DE PYLONE,34500,BEZIERS,13/05/2003,En exterieur,FicheMesure3043.pdf,Oui,0.00,Divers,BUREAU VERITAS
3045,3.23028,43.36167,"03e 13' 49.00'' Est, 43e 21' 42.00'' Nord",34032,17 Rue des Terries,MESURE SUR TROTTOIR FACE AU Ne 17 RUE DES TERRIES,34500,BEZIERS,13/05/2003,En exterieur,FicheMesure3045.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS
3046,3.22861,43.36306,"03e 13' 43.00'' Est, 43e 21' 47.00'' Nord",34032,Reservoir d'eau,MESURE FACE AU RESERVOIR DEVANT GRILLAGE MAISON,34500,BEZIERS,13/05/2003,En exterieur,FicheMesure3046.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS
3047,3.22917,43.36222,"03e 13' 45.00'' Est, 43e 21' 44.00'' Nord",34032,Impasse Chaim Soudine,MESURE IMPASSE CHAIM SOUDINE AU BOUT DE L IMPASSE,34500,BEZIERS,13/05/2003,En exterieur,FicheMesure3047.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS
3261,3.47833,43.30778,"03e 28' 42.00'' Est, 43e 18' 28.00'' Nord",34003,2 Boulevard du Soleil,Dans la cour de recreation de l'�cole A. Camus.,34300,AGDE,14/01/2004,En exterieur,FicheMesure3261.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
3263,3.47750,43.30750,"03e 28' 39.00'' Est, 43e 18' 27.00'' Nord",34003,2 Boulevard du Soleil,Devant l'entree de l'�cole A. Camus.,34300,AGDE,14/01/2004,En exterieur,FicheMesure3263.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
3309,3.79389,43.48944,"03e 47' 38.00'' Est, 43e 29' 22.00'' Nord",34333,Rue Rocagnas,Ecole  Maternelle de Vic la Gardiole,34110,VIC-LA-GARDIOLE,17/09/2003,En exterieur,FicheMesure3309.pdf,Oui,0.95,Rue / Route / Parking,BUREAU VERITAS
3310,3.79389,43.48944,"03e 47' 38.00'' Est, 43e 29' 22.00'' Nord",34333,Rue Rocagnas,Ecole  Maternelle de Vic la Gardiole,34110,VIC-LA-GARDIOLE,17/09/2003,En exterieur,FicheMesure3310.pdf,Oui,0.95,Rue / Route / Parking,BUREAU VERITAS
3876,3.81139,43.64000,"03e 48' 41.00'' Est, 43e 38' 24.00'' Nord",34172,"Quartier ""la Paillade""-Tour Tryton Ne3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En exterieur,FicheMesure3876.pdf,Oui,4.00,Rue / Route / Parking,BUREAU VERITAS
3877,3.81139,43.64000,"03e 48' 41.00'' Est, 43e 38' 24.00'' Nord",34172,"Quartier ""La Paillade"" - Tour Triton Ne3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En exterieur,FicheMesure3877.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS
3878,3.81111,43.64028,"03e 48' 40.00'' Est, 43e 38' 25.00'' Nord",34172,"Quartier ""La Paillade"" Tour Triton Ne3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En exterieur,FicheMesure3878.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS
3879,3.81167,43.63972,"03e 48' 42.00'' Est, 43e 38' 23.00'' Nord",34172,"Quartier ""La Paillade"" Tour Triton Ne3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En exterieur,FicheMesure3879.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS
4467,3.90194,43.61861,"03e 54' 07.00'' Est, 43e 37' 07.00'' Nord",34172,47 Place Jules Valles,Trottoir de la villa Ne 47 Place Jules Valles,34000,MONTPELLIER,25/06/2004,En exterieur,FicheMesure4467.pdf,Oui,1.39,Rue / Route / Parking,BUREAU VERITAS
4468,3.83750,43.60778,"03e 50' 15.00'' Est, 43e 36' 28.00'' Nord",34172,88 Rue Viollet Le Duc,Groupe scolaire La Martelle,34070,MONTPELLIER,09/07/2004,En exterieur,FicheMesure4468.pdf,Oui,3.06,Rue / Route / Parking,BUREAU VERITAS
4664,3.67722,43.39417,"03e 40' 38.00'' Est, 43e 23' 39.00'' Nord",34301,1 Place Edouard Heriot,Balcon de M. EMINET,34200,SETE,16/06/2004,En exterieur,FicheMesure4664.pdf,Oui,0.00,Divers,APAVE
4930,3.87389,43.61167,"03e 52' 26.00'' Est, 43e 36' 42.00'' Nord",34172,Place Saint Pierre,Devant la faculte de medecine.,34000,MONTPELLIER,20/10/2004,En exterieur,FicheMesure4930.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4931,3.83972,43.61750,"03e 50' 23.00'' Est, 43e 37' 03.00'' Nord",34172,703 Rue d'Alco,Devant le portail du groupe scolaire du Petit Bard.,34000,MONTPELLIER,19/10/2004,En exterieur,FicheMesure4931.pdf,Oui,1.38,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4932,3.84000,43.61694,"03e 50' 24.00'' Est, 43e 37' 01.00'' Nord",34172,Rue d'Alco,"A cote de l'arret de bus ""Paul Bringuier"".",34000,MONTPELLIER,19/10/2004,En exterieur,FicheMesure4932.pdf,Oui,1.11,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4933,3.87583,43.61250,"03e 52' 33.00'' Est, 43e 36' 45.00'' Nord",34172,21 Rue de l'Aigrefeuille,Dans la partie haute du square de l'intendance du Languedoc.,34000,MONTPELLIER,20/10/2004,En exterieur,FicheMesure4933.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4934,3.87583,43.61222,"03e 52' 33.00'' Est, 43e 36' 44.00'' Nord",34172,21 Rue de l'Aigrefeuille,Devant l'entree de l'�cole Jean Jacques Rousseau.,34000,MONTPELLIER,20/10/2004,En exterieur,FicheMesure4934.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4935,3.83889,43.61778,"03e 50' 20.00'' Est, 43e 37' 04.00'' Nord",34172,Rue Rimbaud,Devant l'entree de l'�cole maternelle G. BON.,34000,MONTPELLIER,19/10/2004,En exterieur,FicheMesure4935.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4959,3.88194,43.59833,"03e 52' 55.00'' Est, 43e 35' 54.00'' Nord",34172,Impasse des Marmousets,Devant le portail de l'�cole maternelle S. Signoret.,34000,MONTPELLIER,20/10/2004,En exterieur,FicheMesure4959.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4960,3.88389,43.59778,"03e 53' 02.00'' Est, 43e 35' 52.00'' Nord",34172,Rue des Marronniers,Devant l'entree du college G. Philippe.,34000,MONTPELLIER,20/10/2004,En exterieur,FicheMesure4960.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
4961,3.88361,43.59722,"03e 53' 01.00'' Est, 43e 35' 50.00'' Nord",34172,Rue des Marronniers,Devant les portails d'entree du college.,34000,MONTPELLIER,20/10/2004,En exterieur,FicheMesure4961.pdf,Oui,0.00,Rue / Route / Parking,CSTB - Saint Martin d'Heres
5002,3.48250,43.48361,"03e 28' 57.00'' Est, 43e 29' 01.00'' Nord",34162,15 Chemin de Cabanis,"Devant le portail d'entree du Ne15, sur le trottoir cote impair",34530,MONTAGNAC,20/10/2004,En exterieur,FicheMesure5002.pdf,Oui,1.15,Rue / Route / Parking,AEXPERTISE
5004,3.88250,43.60972,"03e 52' 57.00'' Est, 43e 36' 35.00'' Nord",34172,14 Avenue Frederic Mistral,"Terrasse de Monsieur Savelli, 4eme etage",34000,MONTPELLIER,08/10/2004,En exterieur,FicheMesure5004.pdf,Oui,0.81,Divers,AEXPERTISE
5233,3.14111,43.31250,"03e 08' 28.00'' Est, 43e 18' 45.00'' Nord",34081,Rue des ecoles,Ecole Maternelle et primaire de Colombiers,34440,COLOMBIERS,28/10/2004,En exterieur,FicheMesure5233.pdf,Oui,0.00,Rue / Route / Parking,BUREAU VERITAS - Marseille
5599,3.48528,43.30250,"03e 29' 07.00'' Est, 43e 18' 09.00'' Nord",34003,Boulevard Jean Moulin,"College Paul Emile Victor, e cete de l'entree cete D32, route vers le Cap D'Agde.",34300,AGDE,19/01/2005,En exterieur,FicheMesure5599.pdf,Oui,1.54,Rue / Route / Parking,AEXPERTISE
